3.00,2015-11-19T11:54:53.738Z
1.00,2015-11-19T11:54:32.001Z
1.00,2015-11-19T11:53:43.177Z
1.00,2015-11-19T11:52:43.022Z
0.00,2015-11-19T11:51:42.944Z
1.00,2015-11-19T11:50:42.923Z
1.00,2015-11-19T11:49:31.775Z
2.00,2015-11-19T11:47:53.365Z
1.00,2015-11-19T11:47:31.629Z
0.00,2015-11-19T11:46:42.692Z
1.00,2015-11-19T11:45:31.561Z
1.00,2015-11-19T11:44:43.062Z
0.00,2015-11-19T11:42:53.457Z
1.00,2015-11-19T11:42:31.512Z
0.00,2015-11-19T11:41:42.550Z
1.00,2015-11-19T11:39:53.093Z
1.00,2015-11-19T11:39:42.501Z
0.00,2015-11-19T11:38:42.511Z
1.00,2015-11-19T11:37:31.338Z
1.00,2015-11-19T11:36:31.336Z
0.00,2015-11-19T11:34:52.966Z
1.00,2015-11-19T11:33:52.968Z
0.00,2015-11-19T11:33:42.363Z
1.00,2015-11-19T11:32:31.148Z
1.00,2015-11-19T11:31:31.084Z
0.00,2015-11-19T11:30:42.128Z
1.00,2015-11-19T11:28:52.661Z
1.00,2015-11-19T11:28:42.041Z
1.00,2015-11-19T11:27:42.035Z
1.00,2015-11-19T11:25:52.630Z
0.00,2015-11-19T11:25:30.865Z
1.00,2015-11-19T11:23:52.518Z
1.00,2015-11-19T11:23:30.779Z
1.00,2015-11-19T11:21:52.504Z
1.00,2015-11-19T11:20:52.488Z
1.00,2015-11-19T11:20:41.844Z
1.00,2015-11-19T11:19:30.718Z
1.00,2015-11-19T11:18:41.747Z
0.00,2015-11-19T11:16:52.348Z
1.00,2015-11-19T11:16:41.613Z
1.00,2015-11-19T11:14:53.343Z
1.00,2015-11-19T11:12:52.247Z
1.00,2015-11-19T11:12:30.468Z
0.00,2015-11-19T11:10:52.184Z
1.00,2015-11-19T11:10:30.430Z
1.00,2015-11-19T11:09:41.470Z
1.00,2015-11-19T11:07:52.089Z
1.00,2015-11-19T11:07:41.429Z
1.00,2015-11-19T11:06:41.425Z
0.00,2015-11-19T11:05:41.400Z
1.00,2015-11-19T11:04:17.782Z
1.00,2015-11-19T11:03:51.967Z
0.00,2015-11-19T11:02:51.933Z
1.00,2015-11-19T11:01:51.910Z
1.00,2015-11-19T11:00:51.832Z
1.00,2015-11-19T11:00:41.068Z
1.00,2015-11-19T10:59:29.896Z
1.00,2015-11-19T10:57:51.603Z
1.00,2015-11-19T10:57:40.921Z
1.00,2015-11-19T10:56:29.804Z
1.00,2015-11-19T10:55:40.890Z
1.00,2015-11-19T10:54:29.784Z
1.00,2015-11-19T10:53:29.767Z
1.00,2015-11-19T10:52:40.866Z
1.00,2015-11-19T10:51:40.864Z
0.00,2015-11-19T10:49:51.525Z
1.00,2015-11-19T10:48:51.488Z
1.00,2015-11-19T10:48:40.772Z
0.00,2015-11-19T10:46:51.404Z
1.00,2015-11-19T10:46:40.654Z
1.00,2015-11-19T10:45:40.647Z
0.00,2015-11-19T10:44:29.465Z
1.00,2015-11-19T10:43:40.522Z
3.00,2015-11-19T10:42:30.449Z
2.00,2015-11-19T10:41:40.380Z
0.00,2015-11-19T10:40:40.323Z
1.00,2015-11-19T10:39:29.169Z
1.00,2015-11-19T10:38:29.166Z
0.00,2015-11-19T10:37:40.192Z
1.00,2015-11-19T10:35:50.919Z
1.00,2015-11-19T10:34:50.872Z
0.00,2015-11-19T10:34:28.968Z
1.00,2015-11-19T10:33:28.872Z
0.00,2015-11-19T10:31:50.691Z
1.00,2015-11-19T10:30:50.682Z
1.00,2015-11-19T10:30:28.838Z
0.00,2015-11-19T10:28:50.681Z
1.00,2015-11-19T10:27:51.045Z
0.00,2015-11-19T10:27:28.853Z
1.00,2015-11-19T10:25:50.656Z
0.00,2015-11-19T10:24:50.638Z
1.00,2015-11-19T10:24:28.748Z
0.00,2015-11-19T10:23:39.780Z
1.00,2015-11-19T10:21:50.505Z
1.00,2015-11-19T10:21:30.655Z
0.00,2015-11-19T10:19:50.400Z
1.00,2015-11-19T10:18:50.368Z
1.00,2015-11-19T10:17:50.358Z
0.00,2015-11-19T10:17:39.511Z
1.00,2015-11-19T10:15:39.442Z
2.00,2015-11-19T10:14:39.444Z
3.00,2015-11-19T10:13:28.284Z
1.00,2015-11-19T10:12:28.197Z
1.00,2015-11-19T10:11:28.108Z
1.00,2015-11-19T10:09:49.990Z
1.00,2015-11-19T10:09:28.104Z
0.00,2015-11-19T10:08:28.017Z
1.00,2015-11-19T10:06:49.867Z
